titulo,estatus,tiempo_de_publicado,publicado_por,denominacion,precio,metros_totales,recamaras,banos,Cantidad de pisos:,Asador:,Estacionamientos:,Con condominio cerrado:,Jardin:,Alberca:,Antiguedad:,ubicacion,descripcion,url
Casa/local En Venta En Allende Sur Tulancingo De Bravo,Casa en Venta,Publicado hace 12 dias,Inmobiliaria con identidad verificada,$,"2,041,000",180 m2 totales,2 recamaras,1 bano,sin dato,sin dato,0,sin dato,sin dato,sin dato,sin dato,"Allende, Asociacion De Desarrollo Rural De Hidalgo AC, Tulancingo De Bravo, Hidalgo","CASA/LOCAL EN VENTA EN ALLENDE SUR TULANCINGO DE BRAVOUBICADO EN ALLENDE SUR HIDALGO TULANCINGO DE BRAVO¡¡CONTACTANOS, NOSOTROS TE AYUDAMOS!!Esta propiedad cuenta con180m2habitables180m2de construccion2Recamaras1BanosSOLO PAGOS DE CONTADOCERCA DE LA ZONA:La ubicacion es ideal para los que buscan optimizar tiempos de traslados. A minutos; Hospitales, centros comerciales, parques, escuelas, restaurantes y centros recreativo.¡¡¡¡Tu eliges!!!!En AGNOR INMOBILIARIA manejamos diferentes lineas de negocios; Preventa, Renta, Corretajes (en caso de que desees vender tu propiedad, nosotros te apoyamos), ¡sera un placer atenderte!Te apoyamos con tu Credito Hipotecario, asesoria sin compromiso.ASESORÍA GRATUITACARACTERÍSTICAS, PRECIO Y DISPONIBILIDAD PUEDEN CAMBIAR SIN PREVIO AVISO, SE RECOMIENDA UNA CITA PARA CONOCER ESTA INFORMACIÓN CON PRECISIÓN.",https://casa.mercadolibre.com.mx/MLM-3298383616-casalocal-en-venta-en-allende-sur-tulancingo-de-bravo-_JM#position%3D37%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Casa En Venta En Guadalupe Tulancingo De Bravo,Casa en Venta,Publicado hace 12 dias,Inmobiliaria con identidad verificada,$,"976,000",200 m2 totales,2 recamaras,1 bano,sin dato,sin dato,1,sin dato,sin dato,sin dato,sin dato,"Guadalupe, Guadalupe 1a Secc., Tulancingo De Bravo, Hidalgo","CASA EN VENTA EN GUADALUPE TULANCINGO DE BRAVOUBICADO EN GUADALUPE HIDALGO TULANCINGO DE BRAVO¡¡CONTACTANOS, NOSOTROS TE AYUDAMOS!!Esta propiedad cuenta con200m2habitables200m2de construccion2Recamaras1Banos1Estacionamiento$$976000$$SOLO PAGOS DE CONTADOCERCA DE LA ZONA:La ubicacion es ideal para los que buscan optimizar tiempos de traslados. A minutos; Hospitales, centros comerciales, parques, escuelas, restaurantes y centros recreativo.¡¡¡¡Tu eliges!!!!En AGNOR INMOBILIARIA manejamos diferentes lineas de negocios; Preventa, Renta, Corretajes (en caso de que desees vender tu propiedad, nosotros te apoyamos), ¡sera un placer atenderte!Te apoyamos con tu Credito Hipotecario, asesoria sin compromiso.ASESORÍA GRATUITACARACTERÍSTICAS, PRECIO Y DISPONIBILIDAD PUEDEN CAMBIAR SIN PREVIO AVISO, SE RECOMIENDA UNA CITA PARA CONOCER ESTA INFORMACIÓN CON PRECISIÓN.",https://casa.mercadolibre.com.mx/MLM-3298409030-casa-en-venta-en-guadalupe-tulancingo-de-bravo-_JM#position%3D38%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Rancho En Teteles En Venta,Casa en Venta,Propiedad sin tiempo de publicado,Publicado hace 3 meses por Inmobiliaria Zona 04,$,"300,000,000",1500000 m2 totales,4 recamaras,Propiedad sin banos,sin dato,No,0,sin dato,Si,No,35 anos,"Tulancingo, Tulancingo De Bravo, Hidalgo","ELEMENTOS INCLUIDOS EN EL PRECIO DEL RANCHOCasa principal de 306 metros cuadrados de construccion, con:4 recamaras (la principal con chimenea)1 ½ banosSala-comedor con chimeneaCocina con bracero para lenaÁrboles frutalesPequeno lago artificial con cascadaAsador techadoEl terreno circundante a la casa principal es de 30x70 metros, un total de 2100 metros cuadrados.Casa para ranchero (2.5x7m):3 recamaras3 banosCasa para velador:2 cuartosCocinaComedorBano con boiler de lenaCorrales con techo de invernadero, con capacidad para 1500 toros de engorda o 700 vacas lecheras.Corrales para 120 cerdos de engordaBodega para maquinaria de 53mts. de largo por 28 mts. de ancho (1484 metros cuadrados).Bodega para almacenar granos, forraje o alimento molido.Molino de luz/tractor, con capacidad para moler 3 toneladas de grano por hora.Deposito/almacen para agua de riego de 50 mts. de largo por 10mts. de ancho por 1.8mts. de altura, lo que da una capacidad de 900,000 litros.Dos motores para la extraccion, uno de 40hp y otro de 15hp.Riego central de pivote de 450mts. de largo, con 250 regaderas.Riego secundario movible, de 250mts. de largo, con 125 regaderas.Silo 1: con barda de piedra y capacidad para 9000 toneladas.Silo 2: con barda de piedra y capacidad para 4000 toneladas.3 hectareas de sembradio de zarzamora de exportacion.2 ½ hectareas de sembradio de pitaya blanca y roja.EQUIPO EXTRA CON COSTO NO INCLUIDO EN EL PRECIO DEL RANCHO:1 tractor de 80hp, 4x4 con pala mecanica1 tractor de 80hp, 4x41 tractor de 75hp, 4x41 tractor de 135hp, 4x41 tractor de 200hp, 4x41 tractor de 270hp, 4x41 combinada trilladora con corte para cebada1 empacadora John Deer1 tapadora para avena y cebada1 rastra de tiro de 20 discos1 rastra de tiro de 24 discos1 rastra de tiro de 28 discos1 fumigadora para 600 litros1 sembradora de maiz de precision de 6 surcos1 sembradora John Deer de 4 surcos1 arado de 4 discos1 arado de 5 discos1 rastrojera con azadon 1 traila de dos ejes",https://casa.mercadolibre.com.mx/MLM-3062065274-rancho-en-teteles-en-venta-_JM#position%3D39%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Cabana En Venta En Tepalzingo Hidalgo,Casa en Venta,Publicado hace 3 meses,Inmobiliaria con identidad verificada,$,"2,500,000",4600 m2 totales,2 recamaras,2 banos,0,No,4,sin dato,No,No,10 anos,"Carr. Tulancingo-huachinango, Tepalzingo, Tulancingo De Bravo, Hidalgo","$2,500,000 VENTA4,600 m2 de terreno180m2 de construccion 2 recamaras con bano2 banosChimenea Cocina integralEspacio para salaComedorCuenta con servicio de agua y luz1 tinaco de 5,000lts1 tinaco de 1,000ltsSe encuentra a frente a crucero de Pahuatlan y a 15 min de un balneario y de AcaxochitlanUbicacion: https://goo.gl/maps/V335o4LHmyHNoL7a8",https://casa.mercadolibre.com.mx/MLM-3056633602-cabana-en-venta-en-tepalzingo-hidalgo-_JM#position%3D40%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Preventa De Casa De 3 Recamaras En Medias Tierras, Tualancingo",Casa en Venta,Publicado hace 25 dias,Inmobiliaria con identidad verificada,$,"1,800,000",105 m2 totales,3 recamaras,1 bano,2,sin dato,2,sin dato,sin dato,sin dato,0 anos,"Plan De Ayala, Tulancingo De Bravo, Hidalgo","La colonia Medias Tierras, cuenta con todos los servicios de luz, agua, drenaje, cable, internet;es un lugar tranquilo para estar con tu familia. Esta a solo 8minutos del centro de la ciudad, a sus alrededores tiene escuelas publicas y privadas de educacion basica, preparatoria y universidad de la UAEH, tiendas locales, farmacias, papelerias, tiendas de autoservicio, gasolineras, salones de fiesta, restaurantes, canchas deportivas, transporte publico a pie de carretera a Tulancingo, Santiago, Cuautepec.La casa cuenta con:-Planta baja:CocinaComedorMedio banoÁrea de servicioCochera para dos autos con reja  -Planta alta:3 habitacionesUn bano completoÁrea para vestidor-Amenidades:CisternaEscaleras para roof gardenPregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-3261690224-preventa-de-casa-de-3-recamaras-en-medias-tierras-tualancingo-_JM#position%3D41%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Casa Residencial 1 Piso En Pedregal San Francisco, Tulancingo",Casa en Venta,Publicado hace 34 dias,Inmobiliaria con identidad verificada,$,"15,000,000",1100 m2 totales,3 recamaras,3 banos,1,sin dato,2,sin dato,Si,Si,0 anos,"Tulancingo De Bravo, Hidalgo",Casa en Tulancingo Fraccionamiento Residencial San Francisco Terreno 1100 mConstruccion 400 mDistribucion Casa muy amplia de un nivel Recibidor SalaComedor con chimenea Cocina integral Area de lavado 3 recamaras 3 banos completos Dos areas grandes de jardin Area de camastros Alberca interior techada con equipo paneles solares y caldera Madera de caoba puertas estilo italiano,https://casa.mercadolibre.com.mx/MLM-2102485527-casa-residencial-1-piso-en-pedregal-san-francisco-tulancingo-_JM#position%3D42%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Proyecto De Casa En Privada Residencial, Tulancingo Hidalgo",Casa en Venta,Publicado hace 5 meses,Inmobiliaria con identidad verificada,$,"2,650,000",202 m2 totales,3 recamaras,2 banos,1,sin dato,2,sin dato,Si,sin dato,0 anos,"Tulancingo De Bravo, Hidalgo","PROYECTO DE CASAResidencial Terranova es una zona con excelente plusvalia, gracias a su ubicacion tiene cerca bancos, escuelas, central de autobuses, hospitales, avenidas importantes de Tulancingo y esta cerca de la Plaza del Vestido.Al ser un proyecto de casa en construccion, se tiene la ventaja de supervisar la obra; asi como de elegir colores de pisos, azulejos, puertas, cocina; asi como si se desea hacer alguna adecuacion personal.La casa cuenta con:3 recamaras.Recamara principal con bano.Sala-comedor.Cocina integral con barra desayunador.Jardin interior.Cuarto de lavado.Garaje 2 autos.Cisterna de 8,500 lts.Roof garden iluminado con asador.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-2914829964-proyecto-de-casa-en-privada-residencial-tulancingo-hidalgo-_JM#position%3D43%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Oportunidad Venta De Casa En Recuperacion  Bancaria Cad,Casa en Venta,Publicado hace 4 meses,Inmobiliaria con identidad verificada,$,"1,179,800",70 m2 totales,3 recamaras,1 bano,2202,No,1,No,No,No,25 anos,"Calle Obsidiana, Lomas de Progreso, Tulancingo De Bravo, Hidalgo","¿BUSCAS INVERTIR?Una casa siempre es una excelente opcion para obtener altos rendimientos con bajo riesgo.¿Quieres hacer crecer tu patrimonio?, ¿Cansado de pagar renta?No esperes hasta tu vejez para conseguir casa propia piensa en grande y Atrevete a dar el siguiente paso.Propiedad de recuperacion hipotecaria con privilegiada ubicacion y servicios cercanos.Esta es una gran oportunidad para invertir en tu proxima propiedad con los mejores precios del ramo inmobiliario.¡NO SE ACEPTAN CRÉDITOS!La adquisicion es con recursos propios el precio y la disponibilidad estan sujetas a cambios y pueden variar.MAYORES INFORMES DEJE SU MENSAJELUIS CARLOS DAVILA ¡ ATENCION!  NO SE DEJE ENGAÑAR POR FALSOS ANUNCIOS TODAS NUESTRAS RECUPERACIONES SON COMPROBABLES",https://casa.mercadolibre.com.mx/MLM-2051466695-oportunidad-venta-de-casa-en-recuperacion-bancaria-cad-_JM#position%3D44%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Hermosa Casa En Remate,Casa en Venta,Publicado hace 43 dias,Inmobiliaria con identidad verificada,$,"2,500,000",228.5 m2 totales,4 recamaras,2 banos,2,sin dato,3,sin dato,Si,sin dato,14 anos,"C. Franz Von Liszt 101, Jardines Del Sur 3a Secc., Tulancingo De Bravo, Hidalgo","¡¡¡CUMPLE TU SUEÑO DE TENER TU PROPIA CASA/DEPARTAMENTO O INVIERTE EN UNO DE LOSMERCADOS MÁS SEGUROS, BIENES RAICES!!!En un lapso de maximo 2 anos y a menos de la mitad de su valor tendras tu propio patrimonio.Todo con la seguridad de un contrato certificado.Solo requieres tener la liquidez al momento (NO ACEPTAMOS CREDITOS, todo es con recursospropios).¡¡¡ESTA ES TU OPORTUNIDAD!!!Tambien contamos con propiedades de cesion inmediata y adjudicadas.¡Aprovecha y llama YA!",https://casa.mercadolibre.com.mx/MLM-2096618769-hermosa-casa-en-remate-_JM#position%3D45%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
"Casa Economica En Napateco, Bienvenidos Creditos Hipotecarios",Casa en Venta,Publicado hace 5 meses,Inmobiliaria con identidad verificada,$,"740,000",92 m2 totales,2 recamaras,1 bano,1,No,1,No,No,No,0 anos,"Napateco, Tulancingo De Bravo, Hidalgo","Casaen venta en Napateco, Fraccionamiento Los Arcos.La colonia cuenta con todos los servicios, en la zona encontraras tiendas, establecimientos de comida, farmacias, Oxxo, gasolinera, espacios para realizar ejercicio al aire libre, parque para los pequenos de tu hogar, canchas para practicar algun deporte, guarderias, escuelas de nivel basico, universidad a solo 10 minutos de la colonia. El centro de Tulancingo esta a solo 15 minutos de Napateco, cuenta con transporte directo a la colonia.La casa de 1 nivel cuenta con:Sala-comedor.Cocina forrada de azulejo y opcion poner barra.1 bano completo forrado de azulejo.2 recamaras.Patio de servicio con proteccion en techo.Cochera para un auto.Amenidades:Construccion tradicional.Cimentacion de piedra, para 2do nivel.Ladrillo.Losa maciza.Boiler instantaneo (ahorro un 40% de gas)Se encuentran en construccion, se entregan completamente terminadas.BIENVENIDOS CRÉDITOS HIPOTECARIOS: INFONAVIT, FOVISSSTE, BANCARIO, CFE, ISSFAM, IMSSDISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-2028431361-casa-economica-en-napateco-bienvenidos-creditos-hipotecarios-_JM#position%3D46%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Casa En San Jose,Casa en Venta,Publicado hace 28 dias,Inmobiliaria con identidad verificada,$,"1,250,000",120 m2 totales,3 recamaras,2 banos,sin dato,sin dato,0,sin dato,sin dato,sin dato,0 anos,"Tulancingo De Bravo, Hidalgo","Por su ubicacion en la zona tienes acceso a la carretera federal Mexico-Tuxpan y Pachuca- Tulancingo, se ubica a solo 10 minutos del centro de Tulancingo. A 5 minutos de Plaza Patio, donde encontrarastiendas departamentales, bancos de todas las instituciones, MEGA SORIANA, restaurantes, cine, agencias de viajes, Office Depot, etc.Acceso rapido a hospitales y clinicas privadas, escuelas publicas y privadas de nivel basico, media superior y superior. La colonia tiene servicios de luz, agua, drenaje, internet, transporte publico.La casa cuenta con:Cocina.Sala-comedor.2 banos3 recamarasPatio de servicio.Estacionamiento para 1 auto.Pregunta por la forma de pago.DISPONIBILIDAD Y PRECIO SUJETO A CAMBIOS Y/O VARIACIONES SIN PREVIO AVISO*El precio no incluye gastos de escrituracion, gastos administrativos e impuestos.Horario de atencion para citasLunes a viernes: 10:00 a 14:00 y 16:30 a 18:00Sabados: 10:00 a 14:30Domingos: previa citaMayores informes y citas: 7757533901HAY UN LUGAR ESPERANDO SER TU HOGAR",https://casa.mercadolibre.com.mx/MLM-3254643100-casa-en-san-jose-_JM#position%3D47%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
Casa Con 3 Recamaras,Casa en Venta,Publicado hace 7 dias,Particular con identidad verificada,$,"2,150,000",105 m2 totales,3 recamaras,2 banos,sin dato,sin dato,0,sin dato,sin dato,sin dato,sin dato,"Andres De Olmos Esq. 5 De Febrero Sn, Rinconcito Colonial, Tulancingo De Bravo, Hidalgo","Estado habitable, zona centrica, a un costado de la ciclovia, cerca del seminario",https://casa.mercadolibre.com.mx/MLM-3306900740-casa-con-3-recamaras-_JM#position%3D48%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D9271960c-4ea8-44c2-acdf-5289d69ca8f6
